Fecha: 28/8/2017, Hora: 22:9:19, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:9:20, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:9:20, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:9:21, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:9:21, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:9:21, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:9:23, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:9:23, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:9:23, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:9:47, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:9:47, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:9:47, Nombre de operacion: bajar3Pisos
Fecha: 28/8/2017, Hora: 22:9:47, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:19:16, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:19:16, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:19:16, Nombre de operacion: bajar3Pisos
Fecha: 28/8/2017, Hora: 22:19:16, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:19:19, Nombre de operacion: bajar3Pisos
Fecha: 28/8/2017, Hora: 22:19:19, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:19:19, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:19:19, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:19:36, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:19:36, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:31:46, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:31:46, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:41:31, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:41:31, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:46:12, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:46:12, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:46:53, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:46:53, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:47:26, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:47:26, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:48:16, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:48:16, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:49:35, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:49:35, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:49:35, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:49:35, Nombre de operacion: bajar3Pisos
Fecha: 28/8/2017, Hora: 22:50:6, Nombre de operacion: subir2Pisos
Fecha: 28/8/2017, Hora: 22:50:6, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:50:6, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:50:6, Nombre de operacion: bajar3Pisos
Fecha: 28/8/2017, Hora: 22:50:39, Nombre de operacion: subir1Piso
Fecha: 28/8/2017, Hora: 22:50:39, Nombre de operacion: bajar3Pisos
Fecha: 28/8/2017, Hora: 22:50:39, Nombre de operacion: bajar1Piso
Fecha: 28/8/2017, Hora: 22:50:39, Nombre de operacion: subir2Pisos
